input_id	dealiased_id	standard_id	short_id
doi:10.1371/journal.pgen.1005004	doi:10.1371/journal.pgen.1005004	doi:10.1371/journal.pgen.1005004	bjB9vf7C
https://www.malariagen.net/data/ag1000g-phase-2-ar1	https://www.malariagen.net/data/ag1000g-phase-2-ar1	url:https://www.malariagen.net/data/ag1000g-phase-2-ar1	19PrCtqzL
